ranking_id,team_id,ranking_type,ranking_date,rank,rating,previous_rank,source_name,source_url,fetched_at,raw_data
rank-ecuador,ecuador,FIFA,2026-06-11,23,1598.52,23,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Ecuador"",""rank"":23,""totalPoints"":1598.52,""dateId"":""id15136""}"
rank-egypt,egypt,FIFA,2026-06-11,29,1562.37,29,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Egypt"",""rank"":29,""totalPoints"":1562.37,""dateId"":""id15136""}"
rank-england,england,FIFA,2026-06-11,4,1828.02,4,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""England"",""rank"":4,""totalPoints"":1828.02,""dateId"":""id15136""}"
rank-france,france,FIFA,2026-06-11,3,1870.7,3,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""France"",""rank"":3,""totalPoints"":1870.7,""dateId"":""id15136""}"
rank-germany,germany,FIFA,2026-06-11,10,1735.77,10,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Germany"",""rank"":10,""totalPoints"":1735.77,""dateId"":""id15136""}"
rank-ghana,ghana,FIFA,2026-06-11,73,1346.88,73,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Ghana"",""rank"":73,""totalPoints"":1346.88,""dateId"":""id15136""}"
rank-haiti,haiti,FIFA,2026-06-11,83,1293.1,83,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Haiti"",""rank"":83,""totalPoints"":1293.1,""dateId"":""id15136""}"
rank-iran,iran,FIFA,2026-06-11,20,1619.58,20,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""IR Iran"",""rank"":20,""totalPoints"":1619.58,""dateId"":""id15136""}"
rank-iraq,iraq,FIFA,2026-06-11,57,1446.28,57,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Iraq"",""rank"":57,""totalPoints"":1446.28,""dateId"":""id15136""}"
rank-ivory-coast,ivory-coast,FIFA,2026-06-11,33,1540.87,33,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Côte d'Ivoire"",""rank"":33,""totalPoints"":1540.87,""dateId"":""id15136""}"
rank-japan,japan,FIFA,2026-06-11,18,1661.58,18,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Japan"",""rank"":18,""totalPoints"":1661.58,""dateId"":""id15136""}"
rank-jordan,jordan,FIFA,2026-06-11,63,1387.74,63,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Jordan"",""rank"":63,""totalPoints"":1387.74,""dateId"":""id15136""}"
rank-mexico,mexico,FIFA,2026-06-11,14,1687.48,14,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Mexico"",""rank"":14,""totalPoints"":1687.48,""dateId"":""id15136""}"
rank-morocco,morocco,FIFA,2026-06-11,7,1755.1,7,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Morocco"",""rank"":7,""totalPoints"":1755.1,""dateId"":""id15136""}"
rank-netherlands,netherlands,FIFA,2026-06-11,8,1753.57,8,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Netherlands"",""rank"":8,""totalPoints"":1753.57,""dateId"":""id15136""}"
rank-new-zealand,new-zealand,FIFA,2026-06-11,85,1275.58,85,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""New Zealand"",""rank"":85,""totalPoints"":1275.58,""dateId"":""id15136""}"
rank-norway,norway,FIFA,2026-06-11,31,1557.44,31,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Norway"",""rank"":31,""totalPoints"":1557.44,""dateId"":""id15136""}"
rank-panama,panama,FIFA,2026-06-11,34,1539.16,34,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Panama"",""rank"":34,""totalPoints"":1539.16,""dateId"":""id15136""}"
rank-paraguay,paraguay,FIFA,2026-06-11,41,1505.35,41,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Paraguay"",""rank"":41,""totalPoints"":1505.35,""dateId"":""id15136""}"
rank-portugal,portugal,FIFA,2026-06-11,5,1767.85,5,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Portugal"",""rank"":5,""totalPoints"":1767.85,""dateId"":""id15136""}"
rank-qatar,qatar,FIFA,2026-06-11,56,1450.31,56,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Qatar"",""rank"":56,""totalPoints"":1450.31,""dateId"":""id15136""}"
rank-saudi-arabia,saudi-arabia,FIFA,2026-06-11,61,1423.88,61,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Saudi Arabia"",""rank"":61,""totalPoints"":1423.88,""dateId"":""id15136""}"
rank-scotland,scotland,FIFA,2026-06-11,42,1503.34,42,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Scotland"",""rank"":42,""totalPoints"":1503.34,""dateId"":""id15136""}"
